festival,lugar,fecha_inicio,fecha_fin,duracion,cod_postal,latitud,longitud,provincia,localidad,artistas,estilos,enlace_foto,cartel_peq,gratuito,habitantes,tamaño_localidad,mes,costa,comunidad_autonoma,electronica,indie,rock,pop
Fulanita Fest 2023,Marenostrum Fuengirola,2023-05-13,2023-05-13,1,29640,36.524777,-4.628699,Málaga,Fuengirola,"['Ginebras', 'Ptazeta', 'Ladilla rusa', 'María Peláe', 'Sofía Cristo']","['indie', 'pop', 'fusion', 'electro pop']",https://fanmusicfest.b-cdn.net/sites/default/files/336025117_517659420563390_5377521580383923785_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/280423425_148794594354782_2829181685320601858_n.jpg?itok=ZznipCrl,False,83226,50K - 100K,Mayo,True,Andalucía,False,True,False,True
Interestelar Sevilla 2023,Centro Andaluz de Arte Contemporáneo,2023-05-19,2023-05-20,2,41092,37.398801,-6.008062,Sevilla,Sevilla,"['Vetusta Morla', 'Iván Ferreiro', 'Lori Meyers', 'Viva Suecia', 'La Casa Azul', 'La Habitación Roja', 'Second', 'Sidonie', 'La La Love You', 'Ladilla rusa', 'Niña Polaca', 'Rufus T. Firefly', 'Tulsa', 'Dani Fernández', 'Elyella', 'Ley DJ']","['rock', 'indie', 'pop', 'folk', 'rap']",https://fanmusicfest.b-cdn.net/sites/default/files/62585482-25ab-585a-33c6-26bfcee252ea.png,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/278084459_3188594734720541_3777642935929070494_n.jpg?itok=DSWaUMH4,False,681998,500K - 1M,Mayo,False,Andalucía,False,True,True,True
Embassa't 2023,Amfiteatre Parc Catalunya (Sabadell),2023-05-19,2023-05-20,2,08206,41.551304,2.090359,Barcelona,Sabadell,"['!!!', 'HVOB (Live)', 'Biznaga', 'Jimena Amarillo', 'La Plazuela', 'La Élite', 'Dj Maadraassoo', 'Gazzi', 'Julieta', 'La Paloma', 'Lucient b2b Baldman', 'Mainline Magic Orchestra', 'Marina Herlop', 'Pol Batlle amb Rita Payés', 'Rocío Sáiz (Dj set)', 'Abundance', 'Karne Kulture', 'Nahoomie', 'Pépe', ""Ven'nus"", 'Yung Prado']","['indie', 'indie pop', 'indie rock', 'alternative']",https://fanmusicfest.b-cdn.net/sites/default/files/embassat_2.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/274883127_149361040826863_6062104672759326531_n.jpg?itok=TUkhoR_m,False,215760,100K - 500K,Mayo,True,Cataluña,False,True,True,True
Esmorga Fest 2023,Praza da Vila,2023-05-19,2023-05-20,2,27600,42.779311,-7.413465,Lugo,Sarria,"['Los Punsetes', 'The Parrots', 'La Plata', ""VVV [Trippin'you]"", 'Yawners', 'Cora Novoa', 'Grande Amore', 'Ghouljaboy', 'John Axiom', 'Lagoon', 'Pálida', 'Castro']","['indie', 'indie pop', 'indie rock', 'alternative']",https://fanmusicfest.b-cdn.net/sites/default/files/esmorga2.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/274698317_1955175634690700_4417408180688032318_n.jpg?itok=lH0dD4YX,False,13214,10K - 50K,Mayo,True,Galicia,False,True,True,True
Deleste Festival 2023,Jardins de Vivers,2023-05-19,2023-05-21,3,46001,39.465383,-0.360789,Valencia,Valencia,"['Dorian', 'León Benavente', 'Temples', 'The Dandy Warhols', 'Depedro', 'Los Invaders', 'Narco', 'Elvis Perkins', 'Los De Marras', 'Porretas', 'Sujeto K']","['indie', 'indie pop', 'indie rock']",https://fanmusicfest.b-cdn.net/sites/default/files/332562195_1206332563339928_3040604892588202754_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/277793630_4934397513323091_6078376547234380929_n.jpg?itok=z7roLQDU,False,792492,500K - 1M,Mayo,True,Comunidad Valenciana,False,True,True,True
Oh, See! Fest 2023,Auditorio Municipal de Málaga,2023-05-26,2023-05-27,2,29006,36.698638,-4.465795,Málaga,Málaga,"['Dorian', 'Iván Ferreiro', 'La M.O.D.A.', 'León Benavente', 'Viva Suecia', 'Arde Bogotá', 'La La Love You', 'Rayden', 'Rufus T. Firefly', 'Second', 'Dj Maadraassoo', 'Nunatak', 'Siloé', 'Wisemen Project', 'Don Flúor', 'Don Gonzalo', 'Fiebre Dj', 'Jenesaispop DJs', 'La Rubia Pincha', 'Xtrtnt dj', 'Airbag DJs', 'Tali Carreto DJ']","['indie', 'pop', 'alternative']",https://fanmusicfest.b-cdn.net/sites/default/files/334553086_923283735678868_6779021503397306346_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/cartel_oh_see_2022.jpg?itok=oTnZBXU8,False,579076,500K - 1M,Mayo,True,Andalucía,False,True,False,True
Spring Festival 2023,Multiespacio Rabasa,2023-05-26,2023-05-27,2,03009,38.376931,-0.507399,Alicante,Alicante,"['Leiva', 'Lori Meyers', 'Two Door Cinema Club', 'Alizzz', 'Amaia', 'Carlos Sadness', 'Carolina Durante', 'Fangoria', 'Cupido', 'Delaporte', 'Ginebras', 'Jimena Amarillo', 'La La Love You']","['indie', 'pop', 'indie pop', 'dj']",https://fanmusicfest.b-cdn.net/sites/default/files/333310983_1351710195398993_6770734566999346915_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/274783502_5717312438295581_8741102561574864389_n.jpg?itok=ydYBKun1,False,338577,100K - 500K,Mayo,True,Comunidad Valenciana,False,True,False,True
San Miguel Tribu Festival 2023,Jardines de La Parrala,2023-05-26,2023-05-28,3,09001,42.337611,-3.724,Burgos,Burgos,"['Israel Fernández', 'La Cabra Mecánica', 'Karavana', 'Blanco Palamera', 'Ganges', 'Colectivo da Silva', 'Niños Luchando', 'Andrea Santiago', 'Anna Colom', 'Diego del Morao', 'Josh Rouse']","['indie', 'pop', 'folk', 'singer-songwriter', 'flamenco']",https://fanmusicfest.b-cdn.net/sites/default/files/330853247_710405017479037_7745826196310906199_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/cartel_tribu_0.jpg?itok=ClRqa0po,False,173483,100K - 500K,Mayo,False,Castilla y León,False,True,False,True
Morrison Fest 2023,Autocine de Madrid,2023-05-27,2023-05-27,1,28001,40.486218,-3.677778,Madrid,Madrid,"['Ladilla rusa', 'Anabel Lee', 'Biela', 'Johnny Garso']","['rock', 'pop', 'electro pop']",,,,3280782,2M - 3.2M,Mayo,False,Madrid,False,False,True,True
Montgorock (MRK Xàbia Festival) 2023,Recinto La Fontana,2023-06-02,2023-06-03,2,03730,38.77794,0.185012,Alicante,Jávea,"['El Drogas', 'La M.O.D.A.', 'León Benavente', 'Ciudad Jara', 'Morgan', 'Nat Simons', 'Sexy Zebras', 'Corazones Eléctricos', 'Devil Bone Dust', 'Hermano Salvaje', 'Huracán Romántica', 'King Sapo', 'LOS SEX', 'Mantequilla Voladora', 'Ombra', 'Playa Cuberris', 'The Viboras']","['rock', 'indie', 'pop']",https://fanmusicfest.b-cdn.net/sites/default/files/324839300_1303586103708138_4143092337269443683_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/ultimas.confirmacionesmrk-copia.png?itok=d4AbDrRE,False,28731,10K - 50K,Junio,True,Comunidad Valenciana,False,True,True,True
Block Party Arganzuela 2023,Explanada Multiusos Madrid Rio,2023-06-03,2023-06-03,1,28001,40.394597,-3.701394,Madrid,Madrid,"['Bad Nerves', 'Toundra', 'Civic', 'L.A. Witch', 'Acid Dad', 'Miranda and The Beat']","['rock', 'punk', 'indie rock']",https://fanmusicfest.b-cdn.net/sites/default/files/332324021_727672832431946_6820421953706013498_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/cartel%20Block%20Party%20Arganzuela%202021_0.jpg?itok=EHzDpBr-,False,3280782,2M - 3.2M,Junio,False,Madrid,False,True,True,False
Barbeira SeaSon Fest 2023,Parque da Palma,2023-06-07,2023-06-11,5,36300,42.122004,-8.850654,Pontevedra,Baiona,"['Iván Ferreiro', 'Triángulo De Amor Bizarro', 'Xoel López', 'Capicua', 'Lusillón', 'Margarita Quebrada', 'Xenia', 'Aeronave Adolescente', 'Habitación Vudú', 'Señora DJ', 'Sr. Jingles', 'Tarde a todo', 'Visions of Johanna']","['indie', 'pop']",https://fanmusicfest.b-cdn.net/sites/default/files/320017990_717226546583523_2503768885551774157_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/290240885_1131295314394610_294652769326842808_n.jpg?itok=gRc-OWT9,False,12349,10K - 50K,Junio,True,Galicia,False,True,False,True
Palencia Sonora 2023,Parque del Sotillo,2023-06-08,2023-06-11,4,34005,42.010974,-4.541514,Palencia,Palencia,"['Lori Meyers', 'La Casa Azul', 'Sidonie', 'Baiuca', 'Ginebras', 'Iseo & Dodosound', 'Veintiuno', 'Ángel Stanich', 'Anabel Lee', 'Carlangas', 'Niña Polaca', 'Queralt Lahoz', 'Brava', 'El Naán', 'Jaguayano', 'La Plazuela', 'Los Ganglios', 'Mamita Papaya', 'Margarita Quebrada', 'Morreo', 'Noga Erez', 'Rayo', 'Çantamarta']","['rock', 'indie', 'pop']",https://fanmusicfest.b-cdn.net/sites/default/files/336769683_204808138826158_2160505872559984397_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/278978617_5106737406113443_1745284892187724640_n.jpg?itok=5vUIDC_j,False,76302,50K - 100K,Junio,False,Castilla y León,False,True,True,True
Festival de Les Arts 2023,Ciudad de las Artes y las Ciencias de Valencia,2023-06-09,2023-06-10,2,46001,39.455863,-0.355033,Valencia,Valencia,"['Vetusta Morla', 'Amaia', 'La Casa Azul', 'Sidonie', 'Viva Suecia', 'Carolina Durante', 'Second', 'Varry Brava', 'Elyella', 'Jimena Amarillo', 'Ladilla rusa', 'Rufus T. Firefly', 'Veintiuno', 'Niña Polaca', 'Sienna']","['indie', 'indie pop', 'indie rock']",https://fanmusicfest.b-cdn.net/sites/default/files/6455bfb4-6217-d5ac-1641-b6ad17aae991.png,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/les_arts.jpg?itok=wpn6Slo-,False,792492,500K - 1M,Junio,True,Comunidad Valenciana,False,True,True,True
Magnífic Fest 2023,"Recinte Firal ""Les Firetes""",2023-06-15,2023-06-18,4,25001,41.617861,0.639855,Lleida,Lleida,"['Camela', 'Viva Suecia', 'Dani Fernández', 'La Casa Azul', 'Arde Bogotá', 'Dúo Dinámico', 'Sexy Zebras', 'Miranda!', 'Dàmaris Gelabert', 'Xiula']","['indie', 'pop']",https://fanmusicfest.b-cdn.net/sites/default/files/334739698_586238726722006_4374825544487552871_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/cartel_magnific.png?itok=5zJ3yFmR,False,140797,100K - 500K,Junio,False,Cataluña,False,True,False,True
Festival De Los Sentidos 2023,Recinto Ferial,2023-06-16,2023-06-18,3,02630,39.201427,-2.156823,Albacete,La Roda,"['Vetusta Morla', 'Dorian', 'Dani Fernández', 'Amatria', 'La La Love You', 'Maren', 'Sexy Zebras', 'Biela', 'Blackpanda', 'Cora Yako', 'For Your Information', 'Innmir', 'Irenegarry', 'Jairo de Remache', 'Muro María', 'Nando Costa DJ', 'Protagonistas Djs']","['indie', 'pop']",https://fanmusicfest.b-cdn.net/sites/default/files/335456663_1149760655705436_8987853126117466263_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/278789041_528857735266215_7739590992702030912_n_0.jpg?itok=lvGngxz9,False,15497,10K - 50K,Junio,False,Castilla-La Mancha,False,True,False,True
Es Jardí 2023,Antiguo Aquapark de Càlvia,2023-06-16,2023-08-06,52,07181,39.505034,2.521191,Islas Baleares,Calvià,"['David Bisbal', 'Luz Casal', 'Mónica Naranjo', 'Melendi', 'Guitarricadelafuente', 'Rosario', 'UB40', 'Vanesa Martín', 'Danny Ocean']",['pop'],,,,52458,50K - 100K,Junio,True,Islas Baleares,False,False,False,True
Cosquín Rock España 2023,Marenostrum Fuengirola,2023-06-17,2023-06-17,1,29640,36.523588,-4.629278,Málaga,Fuengirola,"['Marea', 'Bocanada', 'Skay y Los Fakires', 'La Renga']","['rock', 'indie', 'pop']",https://fanmusicfest.b-cdn.net/sites/default/files/320603957_902498647798394_5091166896020053821_n_0.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/cosquin.jpg?itok=VIyARu1T,False,83226,50K - 100K,Junio,True,Andalucía,False,True,True,True
El Bosque Sonoro 2023,El Bosque Sonoro,2023-06-17,2023-06-25,9,50440,41.484627,-1.070002,Zaragoza,Mozota,"['Amaia', 'Iván Ferreiro', 'La Casa Azul', 'La Costa Brava', 'León Benavente', 'Miranda!', 'Sweet Drinkz', 'Travis Birds', 'Angel Carmona DJ', 'Dj Lord Sassafras', 'Fajardo', 'Florent y Yo', 'Liniker', 'MS VonDisko', 'Mario Beni', 'Rialto']","['indie', 'indie pop']",https://fanmusicfest.b-cdn.net/sites/default/files/336640964_3447071338844266_2846383189213552670_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/790d5fdc-0b39-b2dd-65ff-e95d07f8dd4c.jpg?itok=5jy-sZ_4,False,123,0 - 5K,Junio,False,Aragón,False,True,False,True
Tomavistas 2023,Parque Enrique Tierno Galván,2023-06-22,2023-06-24,3,28001,40.390045,-3.683845,Madrid,Madrid,"['Metronomy', 'The Vaccines', 'La Casa Azul', 'La Femme', 'Sidonie', 'Ginebras', 'La Bien Querida', 'Ladytron', 'Los Punsetes', 'Triángulo De Amor Bizarro', 'Cala Vento', 'Dani', 'Depresión Sonora', 'Judeline', 'Mujeres', 'Parquesvr', 'Perro', 'Queralt Lahoz', 'Allah-Las', 'Carlangas', 'La Élite', 'Menta']","['rock', 'indie', 'pop']",https://fanmusicfest.b-cdn.net/sites/default/files/tomavistas2023_rrss_cartel_post_rojo_entradas.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/cartel-tomavistas-extra-2022-completo.jpg?itok=BxMqIu30,False,3280782,2M - 3.2M,Junio,False,Madrid,False,True,True,True
Antorchas Festival 2023,Recinto Ferial,2023-06-22,2023-06-24,3,02005,38.996941,-1.868341,Albacete,Albacete,"['Crystal Fighters', 'Andrés Calamaro', 'Iván Ferreiro', 'Jorge Drexler', 'Sidonie', 'Arde Bogotá', 'Ginebras', 'Ilegales', 'Sidecars', 'Aníbal Gómez', 'Karmento', 'Vermú', 'Innmir', 'Vuelo Fidji']","['rock', 'indie', 'pop']",https://fanmusicfest.b-cdn.net/sites/default/files/323453205_1636619840089178_2259580562723414974_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/279270120_317647623842127_5930048406576281007_n.jpg?itok=VHJFOftD,False,172357,100K - 500K,Junio,False,Castilla-La Mancha,False,True,True,True
Zorrilla’s Fest 2023,Plaza de la Universidad,2023-06-24,2023-06-24,1,47001,41.652994,-4.722167,Valladolid,Valladolid,"['Tremenda Jauría', 'Chacho Cósmico']","['indie', 'pop']",https://fanmusicfest.b-cdn.net/sites/default/files/tremenda.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/289653706_112987061446818_4357401935433791099_n.jpg?itok=aiRjSLCP,True,295639,100K - 500K,Junio,False,Castilla y León,False,True,False,True
My Fest Cantabria Infinita 2023,Campos De Sport De El Sardinero,2023-06-24,2023-06-24,1,39005,43.476328,-3.79329,Cantabria,Santader,"['Bizarrap', 'Aitana', 'Belén Aguilera', 'Nicki Nicole', 'Marmi', 'Samantha']","['pop', 'rap', 'urban', 'latin']",,,,171693,100K - 500K,Junio,True,Cantabria,False,False,False,True
Vida Festival 2023,La Masia d’en Cabanyes,2023-06-29,2023-07-01,3,08800,41.241154,1.715761,Barcelona,Vilanova i la Geltrú,"['The Libertines', 'Aurora Aksnes', 'Spiritualized', 'Suede', 'Jorge Drexler', 'Julieta Venegas', 'La Casa Azul', 'Lori Meyers', 'Tim Bernardes', 'Dani', 'Glasvegas', 'Jungle (DJ Set)', 'Niño de Elche', 'Núria Graham', 'Panda Bear', 'Pongo', 'Queralt Lahoz', 'Xoel López', 'Alex Amor', 'Dehd', 'Ernest Crusats', 'Franc Moody', 'Henrio', 'Julieta', 'Keg']","['indie', 'pop', 'electronic']",https://fanmusicfest.b-cdn.net/sites/default/files/333988433_1892683904427614_4584962090184034693_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/275094698_4788406634609984_900291081085549693_n.jpg?itok=uHBRad_u,False,68152,50K - 100K,Junio,True,Cataluña,True,True,False,True
Observatorio Festival 2023,Auditorio Natural,2023-06-29,2023-07-01,3,24525,42.706389,-6.923056,León,Balboa,"['Belako', 'Jimena Amarillo', 'La Paloma', 'Margarita Quebrada', 'La Élite', 'Simona', 'Amore', 'Brava', 'Ciutat', 'Dalila', 'GUIM', 'J.P. Sunshine', 'John Pollõn', 'LOOF', 'Las Petunias', 'Nusar3000', 'Vatocholo', 'Yugen Kala']","['electronic', 'indie pop', 'indie rock']",https://fanmusicfest.b-cdn.net/sites/default/files/336896400_2085171641681092_6186439540006640409_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/275903968_5062248397205150_179573879370658968_n.jpg?itok=n0DSkecO,False,271,0 - 5K,Junio,False,Castilla y León,True,True,True,True
León Vive Festival 2023,"Campo Hípico Municipal ""El Parque""",2023-06-29,2023-06-30,2,24005,42.58418,-5.569317,León,León,"['Vetusta Morla', 'Ayax y Prok', 'Carlos Sadness', 'Hens', 'Veintiuno', 'Walls', 'Besmaya', 'Pole', 'Villano Antillano', 'Carlos Bru', 'Don Flúor', 'Malmö 040', 'Ters']","['indie', 'pop', 'hip-hop', 'urban']",,,,120951,100K - 500K,Junio,False,Castilla y León,False,True,False,True
Conexión Valladolid 2023,Antigua Hípica,2023-06-30,2023-07-01,2,47008,41.597723,-4.757922,Valladolid,Pinar de Antequera,"['Natos y Waor', 'Loquillo', 'SFDK', 'Nach', 'Ana Mena', 'Celtas Cortos', 'Dani Fernández', 'Dorian', 'KITAI', 'Gabriela Richardson', 'Johnny Garso', 'Ultraligera', 'Carmen 113', 'Cora Yako', 'Grex', 'Joven Dolores']","['indie', 'pop', 'hip-hop', 'urban']",https://fanmusicfest.b-cdn.net/sites/default/files/323363735_556871119408438_7679816110645875469_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/279257159_5430663423644559_4825093691533300768_n.jpg?itok=31iWTkiG,False,295639,100K - 500K,Junio,False,Castilla y León,False,True,False,True
Polifonik Sound 2023,Recinto Ferial de Barbastro,2023-06-30,2023-07-01,2,22300,42.032002,0.128556,Huesca,Barbastro,"['Sidonie', 'Arde Bogotá', 'Ginebras', 'Second', 'Siloé', 'Ángel Stanich', 'Jordana B.', 'Karavana', 'Niña Polaca', 'Alex Curreya', 'Alison Darwin', 'Besmaya', 'Brigitte Laverne', 'David Van Bylen', 'Dj Maadraassoo', 'El Verbo Odiado', 'Eleven', 'Hola Chica', 'Isaac Corrales', 'Lady Banana', 'Mr Cong', 'Oriol Trelles', 'Penguinsandcat', 'Rialto', 'Sottto']","['indie', 'indie pop']",https://fanmusicfest.b-cdn.net/sites/default/files/335878883_894152298306192_4998385802063368605_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/275977888_10160400968799887_896966707661784680_n.jpg?itok=pV8LfDsN,False,17214,10K - 50K,Junio,False,Aragón,False,True,False,True
Ojeando Festival 2023,Ojén,2023-06-30,2023-07-01,2,29610,36.565444,-4.855313,Málaga,Ojén,sin artistas,"['rock', 'indie', 'pop']",https://fanmusicfest.b-cdn.net/sites/default/files/logo_ojeando.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/ojeando_2.jpg?itok=nCGsRVg_,False,4218,0 - 5K,Junio,True,Andalucía,False,True,True,True
Vive Nigrán 2023,Campo de fútbol Lourido,2023-06-30,2023-07-01,2,36370,42.124631,-8.821029,Pontevedra,Nigrán,"['Nada Surf', 'Ojete Calor', 'Morgan', 'Samantha Hudson', 'Javiera Mena', 'Morreo']","['indie', 'pop', 'electro pop']",https://fanmusicfest.b-cdn.net/sites/default/files/336810323_593652499328863_1214718262450055341_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/278155518_3281948255362114_8911235288279630036_n.jpg?itok=4eNmvEDI,False,18054,10K - 50K,Junio,True,Galicia,False,True,False,True
Espazo Fest 2023,Pazo de Cea,2023-07-01,2023-08-31,62,36350,42.148642,-8.79962,Pontevedra,Nigrán,['Wilco'],"['rock', 'indie', 'pop']",https://fanmusicfest.b-cdn.net/sites/default/files/7b8d0300-6488-0351-ace3-2bc6bd5d0e08.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/espazo%20cartel.jpeg?itok=eVXjQ0aV,False,18054,10K - 50K,Julio,True,Galicia,False,True,True,True
Planeta Sound 2023,Estadio Municipal Colomán Trabado,2023-07-07,2023-07-09,3,24400,42.554785,-6.600381,León,Ponferrada,"['Love of Lesbian', 'Carolina Durante', 'Arde Bogotá', 'Cariño', 'Ginebras', 'Fresquito y Mango', 'KITAI', 'Nunatak', 'Sexy Zebras', 'Siloé', 'Veintiuno', 'Alison Darwin', 'Casino Montreal', 'Cheese&Bacon DJs', 'Dridri Dj', 'GLAS', 'Mars Wavez']","['indie', 'pop']",https://fanmusicfest.b-cdn.net/sites/default/files/336913947_642142704387593_2421160403356194832_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/279623509_1021646008776130_7709191126359130152_n.jpg?itok=Blgd2Y0b,False,63052,50K - 100K,Julio,False,Castilla y León,False,True,False,True
Cabaret Festival Roquetas de Mar 2023,Plaza de Toros,2023-07-07,2023-08-16,41,04740,36.76818,-2.611721,Almería,Roquetas de Mar,"['Alejandro Sanz', 'David Bisbal', 'El Barrio', 'tINI']","['rock', 'indie', 'pop']",https://fanmusicfest.b-cdn.net/sites/default/files/322615159_1285016112279212_4388367490011493036_n_0.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/326894037_3396963333954500_1752220200921548907_n.jpg?itok=_6us5FxR,False,102881,100K - 500K,Julio,True,Andalucía,False,True,True,True
Dale Argentina Fest 2023,Poble Espanyol,2023-07-07,2023-07-11,5,08001,41.368822,2.148256,Barcelona,Barcelona,"['Airbag', 'Coti', 'Damas Gratis', 'Divididos', 'Guasones', 'Juanse']","['rock', 'pop', 'latin']",,,,1636193,1M - 2M,Julio,True,Cataluña,False,False,True,True
PortAmérica 2023,Fábrica Azucreira de Portas,2023-07-13,2023-07-15,3,36658,42.590436,-8.655596,Pontevedra,Caldas de Reis,"['La M.O.D.A.', 'Bad Gyal', 'Molotov', 'Nicki Nicole', 'Sebastian Yatra', 'Deluxe', 'Guitarricadelafuente', 'Jorge Drexler', 'Loquillo', 'M-Clan', 'Quique González', 'Second', 'Carlangas', 'Funzo & Baby Loud', 'Grande Amore', 'Ortiga', 'Pole', 'Sexy Zebras', 'Bandalos Chinos', 'Centavrvs', 'Conociendo Rusia', 'Dani Fernández', 'Flecha Valona', 'Galician Army', 'Gustavo Santaolalla']","['rock', 'indie', 'pop', 'indie pop', 'folk']",https://fanmusicfest.b-cdn.net/sites/default/files/333426683_769740964151519_3380830948603030251_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/281799579_5241415492618472_2968221748571768680_n.jpg?itok=WSXWnbwT,False,9678,5K - 10K,Julio,True,Galicia,False,True,True,True
Fárdelej Festival Rioja Live 2023,Arnedo,2023-07-14,2023-07-15,2,26580,42.225735,-2.102074,La Rioja,Arnedo,sin artistas,"['rock', 'indie', 'pop']",https://fanmusicfest.b-cdn.net/sites/default/files/326193398_1360161688065275_4773021011994336663_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/fardelej_2.jpg?itok=fKqi5IGe,False,15017,10K - 50K,Julio,False,La Rioja,False,True,True,True
Cap Roig Festival 2023,Jardí Botànic de Cap Roig,2023-07-14,2023-08-19,37,17210,41.87723,3.177388,Girona,Calella de Palafrugell,"['David Bisbal', 'Luz Casal', 'Rod Stewart', 'Ara Malikian', 'Damien Rice', 'Manuel Carrasco', 'Mika', 'Pablo Alborán', 'Sebastian Yatra', 'Simply Red', 'Vanesa Martín', 'Els Catarres', 'Joan Dausà', 'Lola Indigo', 'Norah Jones', 'Pablo López', 'Stay Homas', 'Sílvia Pérez Cruz', 'Taburete', 'Dàmaris Gelabert', 'Juan Diego Flórez']","['indie', 'pop']",https://fanmusicfest.b-cdn.net/sites/default/files/334953585_889607632268780_1389437738884400796_n_1.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/275209753_5186287258080826_7104228720892213974_n.jpg?itok=0YkPOGn-,False,23396,10K - 50K,Julio,True,Cataluña,False,True,False,True
Barranco Fest 2023,Plaza de Toros de Fitero,2023-07-20,2023-07-22,3,31593,42.056383,-1.855917,Navarra,Fitero,sin artistas,"['indie', 'pop', 'dj', 'electro pop']",https://fanmusicfest.b-cdn.net/sites/default/files/barranco.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/fb_img_1654168703703.jpg?itok=Nx5fNX-6,False,2046,0 - 5K,Julio,False,Navarra,False,True,False,True
No Sin Música 2023,Muelle Ciudad del Puerto de Cádiz,2023-07-21,2023-07-22,2,11006,36.531617,-6.291618,Cádiz,Cadiz,"['Vetusta Morla', 'La Casa Azul', 'La M.O.D.A.', 'Sidecars', 'Dani Fernández', 'La La Love You', 'Morgan', '30s40s50s', 'David Palomar', 'Niña Polaca', 'The Electric Alley', ""We Are Not Dj's"", 'Chica Sobresalto', 'Jordana B.', 'Juicy', 'Mae Minerva', 'Morreo', 'Nadie Patín', 'Niños Luchando']","['rock', 'indie', 'pop']",https://fanmusicfest.b-cdn.net/sites/default/files/326445962_715178380073864_921642087989772940_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/289977933_2112801112231767_6330735829153299300_n.jpg?itok=1gTW2RXW,False,113066,100K - 500K,Julio,True,Andalucía,False,True,True,True
Atlantic Fest 2023,Playa de A Concha,2023-07-21,2023-07-23,3,36600,42.605071,-8.767744,Pontevedra,Vilagarcía de Arousa,"['Leiva', 'Sidonie', 'Sidecars', 'Cariño', 'Cupido']","['rock', 'indie', 'pop', 'alternative']",https://fanmusicfest.b-cdn.net/sites/default/files/320932459_427627096155916_3682229043574240552_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/280755060_10160433959093694_2903341059852138660_n.jpg?itok=tMlo8hek,False,37677,10K - 50K,Julio,True,Galicia,False,True,True,True
Sinsal Esencial SON Estrella Galicia 2023,Isla de San Simón,2023-07-21,2023-07-23,3,36800,42.307258,-8.628943,Pontevedra,Redondela,sin artistas,['indie'],https://fanmusicfest.b-cdn.net/sites/default/files/277006974_5048479991901064_4226800634628763959_n_0.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/295853273_5402063383209388_7526923278725884498_n.jpg?itok=wNNFBtHJ,False,29055,10K - 50K,Julio,True,Galicia,False,True,False,False
